№: 1, ID: 33, FIO: Сидоров Т. П., Email: sidorov3@gmail.com, Address: ул. Будівельників 4а, Apartament: 3, Square: 89.4
№: 2, ID: 15, FIO: Сергеев П. П., Email: sergeev@gmail.com, Address: ул. Будівельників 4, Apartament: 15, Square: 59.3
№: 3, ID: 22, FIO: Романов Ч. В., Email: romanov@gmail.com, Address: ул. Будівельників 4а, Apartament: 12, Square: 77.7
№: 4, ID: 3, FIO: Петров В. П., Email: petrov@gmail.com, Address: ул. Будівельників 4, Apartament: 11, Square: 41.2
№: 5, ID: 34, FIO: Михайлов У. Д., Email: mikhailov3@gmail.com, Address: ул. Будівельників 4а, Apartament: 8, Square: 82.8
№: 6, ID: 91, FIO: Михаилова Ф. С., Email: mikhailova2@gmail.com, Address: ул. Будівельників 4, Apartament: 20, Square: 67.3
№: 7, ID: 85, FIO: Константинова О. А., Email: konstantinova2@gmail.com, Address: ул. Будівельників 4а, Apartament: 2, Square: 82.8
№: 8, ID: 8, FIO: Егоров З. О., Email: egorov@gmail.com, Address: ул. Будівельників 4, Apartament: 24, Square: 55.5
№: 9, ID: 70, FIO: Дмитроева Ш. Г., Email: dmitroeva5@gmail.com, Address: ул. Будівельників 4, Apartament: 19, Square: 44.4
№: 10, ID: 93, FIO: Георгиева Ч. Д., Email: georgieva2@gmail.com, Address: ул. Будівельників 4, Apartament: 22, Square: 44.4
№: 11, ID: 80, FIO: Георгиева И. А., Email: georgieva@gmail.com, Address: ул. Будівельників 4, Apartament: 27, Square: 55.5
№: 12, ID: 54, FIO: Георгиев С. В., Email: georgiev4@gmail.com, Address: ул. Будівельників 6, Apartament: 5, Square: 62.1
№: 13, ID: 14, FIO: Владимиров О. О., Email: vladimirov@gmail.com, Address: ул. Будівельників 6, Apartament: 2, Square: 64.8
№: 14, ID: 100, FIO: Артемова П. С., Email: artemova3@gmail.com, Address: ул. Будівельників 4, Apartament: 1, Square: 44.0
№: 15, ID: 9, FIO: Андреев И. Л., Email: andreev@gmail.com, Address: ул. Будівельників 4, Apartament: 13, Square: 34.6
№: 16, ID: 76, FIO: Александрова Е. Н., Email: alexandrova@gmail.com, Address: ул. Будівельників 6, Apartament: 3, Square: 62.1
